Sea_area,Date,Temperature_avg,Salinity_avg,Dissolved Oxygen_avg,Phosphate Phosphorus_avg,Nitrous Acid Nitrogen_avg,Nitric Acid Nitrogen_avg,Silicic Acid Silicon_avg
동해,2000-08,24.118000000000002,33.304,5.265,0.259,0.12300000000000001,0.809,15.629000000000001
동해,2001-08,26.386,32.725,4.5969999999999995,0.254,0.11,6.144,1.213
동해,2002-08,22.084,32.539,4.439,0.37,0.273,3.241,5.857
동해,2003-08,23.526999999999997,32.336999999999996,4.229,0.376,0.27899999999999997,3.335,4.195
동해,2004-08,25.237,33.257,4.381,0.115,0.136,5.775,9.972999999999999
동해,2005-08,22.913,33.132,5.526,0.077,0.125,0.9129999999999999,3.142
동해,2006-08,23.831999999999997,32.391,4.6160000000000005,0.14,0.048,6.809,3.137
동해,2007-08,22.953000000000003,33.455999999999996,5.295,0.146,0.10099999999999999,2.6210000000000004,4.78
동해,2008-08,24.996,33.141,3.887,0.094,0.043,0.784,3.37
동해,2009-08,23.493000000000002,32.861,5.231,0.272,0.045,1.811,1.83
동해,2010-08,24.805,32.38,4.815,,,1.857,2.116
동해,2011-08,24.61,32.626,5.096,0.17300000000000001,0.09699999999999999,2.842,3.903
동해,2012-08,24.658,32.954,4.737,0.129,0.071,0.396,2.616
동해,2013-08,26.276999999999997,32.414,5.033,0.018000000000000002,2.515,0.609,0.031
동해,2014-08,23.565,32.968,5.122000000000001,0.059000000000000004,0.043,0.8590000000000001,3.551
동해,2015-08,25.289,32.671,5.232,0.045,0.027000000000000003,0.429,4.408
동해,2016-08,27.276999999999997,31.816,5.083,0.017,0.011000000000000001,0.428,5.457000000000001
동해,2017-08,25.671999999999997,32.573,4.939,0.09300000000000001,0.013999999999999999,0.387,2.5340000000000003
남해,2000-08,26.788,31.750999999999998,4.843,0.09699999999999999,0.147,3.167,1.8880000000000001
남해,2001-08,27.85,30.635,4.909,0.11,0.1,1.453,9.317
남해,2002-08,25.643,31.997,4.98,0.094,0.15,4.203,6.026
남해,2003-08,25.893,30.573,5.074,0.254,0.33,4.066,8.117
남해,2004-08,27.462,31.52,5.084,0.059000000000000004,0.22399999999999998,4.082,5.6160000000000005
남해,2005-08,27.23,30.445,5.127999999999999,0.225,0.358,5.492000000000001,6.85
남해,2006-08,28.954,28.936,5.26,0.098,0.063,5.435,2.865
남해,2007-08,26.689,31.12,4.9,0.40399999999999997,0.05,4.821000000000001,5.481
남해,2008-08,27.551,31.01,5.19,1.599,0.09,4.447,7.4
남해,2009-08,26.98,31.199,5.257000000000001,0.085,0.069,5.537000000000001,3.535
남해,2010-08,26.688000000000002,29.433000000000003,5.922000000000001,0.08,0.184,2.997,3.009
남해,2011-08,24.686,31.436,5.289,0.08199999999999999,0.142,0.8740000000000001,6.095
남해,2012-08,27.598000000000003,31.82,5.254,0.09,0.11599999999999999,0.226,2.992
남해,2013-08,27.016,31.081,4.955,0.025,0.111,0.6679999999999999,3.5180000000000002
남해,2014-08,25.108,32.031,4.825,0.043,0.161,1.0290000000000001,6.376
남해,2015-08,25.929000000000002,31.589000000000002,5.249,0.086,0.055,0.265,6.5760000000000005
남해,2016-08,29.485,28.482,4.851,0.062,0.064,0.27899999999999997,5.849
남해,2017-08,27.95,31.224,4.663,0.195,0.038,0.733,3.6710000000000003
서해,2000-08,26.688000000000002,31.77,4.863,0.11900000000000001,0.628,0.98,4.482
서해,2001-08,27.23,31.12,4.83,0.20800000000000002,0.18,0.677,1.161
서해,2002-08,24.175,31.294,4.915,0.47600000000000003,0.17300000000000001,1.3980000000000001,6.372000000000001
서해,2003-08,23.785999999999998,31.156,5.4879999999999995,0.14300000000000002,0.25,2.092,4.774
서해,2004-08,27.463,31.515,4.922,0.435,0.111,1.686,4.1339999999999995
서해,2005-08,26.274,31.831,5.099,0.392,0.14800000000000002,1.55,3.3689999999999998
서해,2006-08,27.58,31.005,5.605,0.182,0.375,5.718999999999999,3.3080000000000003
서해,2007-08,25.951999999999998,31.695999999999998,5.367999999999999,0.125,0.14300000000000002,2.311,4.775
서해,2008-08,24.910999999999998,31.615,5.582999999999999,0.221,0.099,1.501,4.774
서해,2009-08,24.291,30.771,5.415,0.147,0.03,3.9619999999999997,6.034
서해,2010-08,27.509,31.241999999999997,4.871,0.235,0.059000000000000004,1.335,3.248
서해,2011-08,23.68,31.359,5.581,0.31,0.32299999999999995,5.252000000000001,6.664
서해,2012-08,27.605999999999998,30.276999999999997,5.003,0.27899999999999997,0.11900000000000001,4.89,3.0839999999999996
서해,2013-08,28.349,30.968000000000004,5.186,0.168,0.047,0.623,3.763
서해,2014-08,23.956,31.73,5.617000000000001,0.384,0.17,7.647,6.722
서해,2015-08,25.951999999999998,31.363000000000003,5.585,0.501,0.306,3.7,5.803
서해,2016-08,27.895,31.058000000000003,5.003,0.24600000000000002,0.08199999999999999,0.8109999999999999,4.2589999999999995
서해,2017-08,27.336,31.587,5.101,0.308,0.055999999999999994,1.314,3.906
동중국해,2000-08,29.519000000000002,29.198,4.8839999999999995,0.226,0.081,1.39,5.946000000000001
동중국해,2001-08,28.709,30.141,5.484,,,,
동중국해,2002-08,27.103,28.785999999999998,5.31,0.316,0.35700000000000004,2.884,4.405
동중국해,2003-08,28.3,29.744,5.234,0.278,0.111,2.7,3.6
동중국해,2004-08,,,,,,,
동중국해,2005-08,27.732,31.389,6.89,0.34,0.26,2.512,2.088
동중국해,2006-08,28.930999999999997,30.098000000000003,4.862,0.214,0.16399999999999998,5.555,5.181
동중국해,2007-08,28.784000000000002,30.436,5.504,0.11800000000000001,0.077,2.194,4.8580000000000005
동중국해,2008-08,28.978,30.113000000000003,4.838,0.185,0.10300000000000001,2.165,6.905
동중국해,2009-08,28.179000000000002,30.138,4.922,0.113,0.33899999999999997,2.57,4.039
동중국해,2010-08,29.026999999999997,29.228,4.8660000000000005,0.003,0.003,4.2219999999999995,6.582999999999999
동중국해,2011-08,24.654,32.366,4.802,0.03,0.165,2.557,5.433
동중국해,2012-08,27.947,30.997,4.907,0.006,0.042,0.758,3.11
동중국해,2013-08,29.017,29.833000000000002,4.787,0.018000000000000002,0.091,0.573,1.725
동중국해,2014-08,26.101999999999997,29.938000000000002,5.372000000000001,0.043,0.136,5.216,4.768
동중국해,2015-08,27.046,30.42,4.853,0.005,0.05,1.196,2.96
동중국해,2016-08,30.734,28.26,4.675,0.039,0.013000000000000001,0.517,5.858
동중국해,2017-08,,,,,,,
